 -----------------------------------------------------------------------
 |   blk,thd:: |    bestBlk  |  px_per_blk |    bstThd   |  px_per_thd | 
 | 200,   50:: |    1 x  200 | 2000 x    5 |   10 x    5 |  200 x    1 |
 | 200,   80:: |    1 x  200 | 2000 x    5 |   16 x    5 |  125 x    1 |
 | 200,  100:: |    1 x  200 | 2000 x    5 |   20 x    5 |  100 x    1 |
 | 200,  125:: |    1 x  200 | 2000 x    5 |   25 x    5 |   80 x    1 |
 | 200,  200:: |    1 x  200 | 2000 x    5 |   40 x    5 |   50 x    1 |
 | 200,  250:: |    1 x  200 | 2000 x    5 |   50 x    5 |   40 x    1 |
 | 200,  400:: |    1 x  200 | 2000 x    5 |   80 x    5 |   25 x    1 |
 | 200,  500:: |    1 x  200 | 2000 x    5 |  100 x    5 |   20 x    1 |
 | 200,  625:: |    1 x  200 | 2000 x    5 |  125 x    5 |   16 x    1 |
 | 200, 1000:: |    1 x  200 | 2000 x    5 |  200 x    5 |   10 x    1 |
 | 250,    1:: |    1 x  250 | 2000 x    4 |    1 x    1 | 2000 x    4 |
 | 250,    2:: |    1 x  250 | 2000 x    4 |    1 x    2 | 2000 x    2 |
 | 250,    4:: |    1 x  250 | 2000 x    4 |    1 x    4 | 2000 x    1 |
 | 250,    5:: |    1 x  250 | 2000 x    4 |    5 x    1 |  400 x    4 |
 | 250,    8:: |    1 x  250 | 2000 x    4 |    2 x    4 | 1000 x    1 |
 | 250,   10:: |    1 x  250 | 2000 x    4 |    5 x    2 |  400 x    2 |
 | 250,   16:: |    1 x  250 | 2000 x    4 |    4 x    4 |  500 x    1 |
 | 250,   20:: |    1 x  250 | 2000 x    4 |    5 x    4 |  400 x    1 |
 | 250,   25:: |    1 x  250 | 2000 x    4 |   25 x    1 |   80 x    4 |
 | 250,   32:: |    1 x  250 | 2000 x    4 |    8 x    4 |  250 x    1 |
 | 250,   40:: |    1 x  250 | 2000 x    4 |   10 x    4 |  200 x    1 |
 | 250,   50:: |    1 x  250 | 2000 x    4 |   25 x    2 |   80 x    2 |
 | 250,   64:: |    1 x  250 | 2000 x    4 |   16 x    4 |  125 x    1 |
 | 250,   80:: |    1 x  250 | 2000 x    4 |   20 x    4 |  100 x    1 |
 | 250,  100:: |    1 x  250 | 2000 x    4 |   25 x    4 |   80 x    1 |
 | 250,  125:: |    1 x  250 | 2000 x    4 |  125 x    1 |   16 x    4 |
 | 250,  160:: |    1 x  250 | 2000 x    4 |   40 x    4 |   50 x    1 |
 | 250,  200:: |    1 x  250 | 2000 x    4 |   50 x    4 |   40 x    1 |
 | 250,  250:: |    1 x  250 | 2000 x    4 |  125 x    2 |   16 x    2 |
 | 250,  320:: |    1 x  250 | 2000 x    4 |   80 x    4 |   25 x    1 |
 | 250,  400:: |    1 x  250 | 2000 x    4 |  100 x    4 |   20 x    1 |
 | 250,  500:: |    1 x  250 | 2000 x    4 |  125 x    4 |   16 x    1 |
 | 250,  800:: |    1 x  250 | 2000 x    4 |  200 x    4 |   10 x    1 |
 | 250, 1000:: |    1 x  250 | 2000 x    4 |  250 x    4 |    8 x    1 |
 | 320,    1:: |    8 x   40 |  250 x   25 |    1 x    1 |  250 x   25 |
 | 320,    2:: |    8 x   40 |  250 x   25 |    2 x    1 |  125 x   25 |
 | 320,    5:: |    8 x   40 |  250 x   25 |    1 x    5 |  250 x    5 |
 | 320,   10:: |    8 x   40 |  250 x   25 |    2 x    5 |  125 x    5 |
 | 320,   25:: |    8 x   40 |  250 x   25 |    1 x   25 |  250 x    1 |
 | 320,   50:: |    8 x   40 |  250 x   25 |    2 x   25 |  125 x    1 |
 | 320,  125:: |    8 x   40 |  250 x   25 |    5 x   25 |   50 x    1 |
 | 320,  250:: |    8 x   40 |  250 x   25 |   10 x   25 |   25 x    1 |
 | 320,  625:: |    8 x   40 |  250 x   25 |   25 x   25 |   10 x    1 |
 | 400,    1:: |    2 x  200 | 1000 x    5 |    1 x    1 | 1000 x    5 |
 | 400,    2:: |    2 x  200 | 1000 x    5 |    2 x    1 |  500 x    5 |
 | 400,    4:: |    2 x  200 | 1000 x    5 |    4 x    1 |  250 x    5 |
 | 400,    5:: |    2 x  200 | 1000 x    5 |    1 x    5 | 1000 x    1 |
 | 400,    8:: |    2 x  200 | 1000 x    5 |    8 x    1 |  125 x    5 |
 | 400,   10:: |    2 x  200 | 1000 x    5 |    2 x    5 |  500 x    1 |
 | 400,   20:: |    2 x  200 | 1000 x    5 |    4 x    5 |  250 x    1 |
 | 400,   25:: |    2 x  200 | 1000 x    5 |    5 x    5 |  200 x    1 |
 | 400,   40:: |    2 x  200 | 1000 x    5 |    8 x    5 |  125 x    1 |
 | 400,   50:: |    2 x  200 | 1000 x    5 |   10 x    5 |  100 x    1 |
 | 400,  100:: |    2 x  200 | 1000 x    5 |   20 x    5 |   50 x    1 |
 | 400,  125:: |    2 x  200 | 1000 x    5 |   25 x    5 |   40 x    1 |
 | 400,  200:: |    2 x  200 | 1000 x    5 |   40 x    5 |   25 x    1 |
 | 400,  250:: |    2 x  200 | 1000 x    5 |   50 x    5 |   20 x    1 |
 | 400,  500:: |    2 x  200 | 1000 x    5 |  100 x    5 |   10 x    1 |
 | 400,  625:: |    2 x  200 | 1000 x    5 |  125 x    5 |    8 x    1 |
 | 400, 1000:: |    2 x  200 | 1000 x    5 |  200 x    5 |    5 x    1 |
 | 500,    1:: |    1 x  500 | 2000 x    2 |    1 x    1 | 2000 x    2 |
 | 500,    2:: |    1 x  500 | 2000 x    2 |    1 x    2 | 2000 x    1 |
 | 500,    4:: |    1 x  500 | 2000 x    2 |    2 x    2 | 1000 x    1 |
 | 500,    5:: |    1 x  500 | 2000 x    2 |    5 x    1 |  400 x    2 |
 | 500,    8:: |    1 x  500 | 2000 x    2 |    4 x    2 |  500 x    1 |
 | 500,   10:: |    1 x  500 | 2000 x    2 |    5 x    2 |  400 x    1 |
 | 500,   16:: |    1 x  500 | 2000 x    2 |    8 x    2 |  250 x    1 |
 | 500,   20:: |    1 x  500 | 2000 x    2 |   10 x    2 |  200 x    1 |
 | 500,   25:: |    1 x  500 | 2000 x    2 |   25 x    1 |   80 x    2 |
 | 500,   32:: |    1 x  500 | 2000 x    2 |   16 x    2 |  125 x    1 |
 | 500,   40:: |    1 x  500 | 2000 x    2 |   20 x    2 |  100 x    1 |
 | 500,   50:: |    1 x  500 | 2000 x    2 |   25 x    2 |   80 x    1 |
 | 500,   80:: |    1 x  500 | 2000 x    2 |   40 x    2 |   50 x    1 |
 | 500,  100:: |    1 x  500 | 2000 x    2 |   50 x    2 |   40 x    1 |
 | 500,  125:: |    1 x  500 | 2000 x    2 |  125 x    1 |   16 x    2 |
 | 500,  160:: |    1 x  500 | 2000 x    2 |   80 x    2 |   25 x    1 |
 | 500,  200:: |    1 x  500 | 2000 x    2 |  100 x    2 |   20 x    1 |
 | 500,  250:: |    1 x  500 | 2000 x    2 |  125 x    2 |   16 x    1 |
 | 500,  400:: |    1 x  500 | 2000 x    2 |  200 x    2 |   10 x    1 |
 | 500,  500:: |    1 x  500 | 2000 x    2 |  250 x    2 |    8 x    1 |
 | 500,  800:: |    1 x  500 | 2000 x    2 |  400 x    2 |    5 x    1 |
 | 500, 1000:: |    1 x  500 | 2000 x    2 |  500 x    2 |    4 x    1 |
 | 625,    1:: |    5 x  125 |  400 x    8 |    1 x    1 |  400 x    8 |
 | 625,    2:: |    5 x  125 |  400 x    8 |    1 x    2 |  400 x    4 |
 | 625,    4:: |    5 x  125 |  400 x    8 |    1 x    4 |  400 x    2 |
 | 625,    5:: |    5 x  125 |  400 x    8 |    5 x    1 |   80 x    8 |
 | 625,    8:: |    5 x  125 |  400 x    8 |    1 x    8 |  400 x    1 |
 | 625,   10:: |    5 x  125 |  400 x    8 |    5 x    2 |   80 x    4 |
 | 625,   16:: |    5 x  125 |  400 x    8 |    2 x    8 |  200 x    1 |
 | 625,   20:: |    5 x  125 |  400 x    8 |    5 x    4 |   80 x    2 |
 | 625,   25:: |    5 x  125 |  400 x    8 |   25 x    1 |   16 x    8 |
 | 625,   32:: |    5 x  125 |  400 x    8 |    4 x    8 |  100 x    1 |
 | 625,   40:: |    5 x  125 |  400 x    8 |    5 x    8 |   80 x    1 |
 | 625,   50:: |    5 x  125 |  400 x    8 |   25 x    2 |   16 x    4 |
 | 625,   64:: |    5 x  125 |  400 x    8 |    8 x    8 |   50 x    1 |
 | 625,   80:: |    5 x  125 |  400 x    8 |   10 x    8 |   40 x    1 |
 | 625,  100:: |    5 x  125 |  400 x    8 |   25 x    4 |   16 x    2 |
 | 625,  128:: |    5 x  125 |  400 x    8 |   16 x    8 |   25 x    1 |
 | 625,  160:: |    5 x  125 |  400 x    8 |   20 x    8 |   20 x    1 |
 | 625,  200:: |    5 x  125 |  400 x    8 |   25 x    8 |   16 x    1 |
 | 625,  320:: |    5 x  125 |  400 x    8 |   40 x    8 |   10 x    1 |
 | 625,  400:: |    5 x  125 |  400 x    8 |   50 x    8 |    8 x    1 |
 | 625,  640:: |    5 x  125 |  400 x    8 |   80 x    8 |    5 x    1 |
 | 625,  800:: |    5 x  125 |  400 x    8 |  100 x    8 |    4 x    1 |
 | 640,    1:: |   16 x   40 |  125 x   25 |    1 x    1 |  125 x   25 |
 | 640,    5:: |   16 x   40 |  125 x   25 |    1 x    5 |  125 x    5 |
 | 640,   25:: |   16 x   40 |  125 x   25 |    1 x   25 |  125 x    1 |
 | 640,  125:: |   16 x   40 |  125 x   25 |    5 x   25 |   25 x    1 |
 | 640,  625:: |   16 x   40 |  125 x   25 |   25 x   25 |    5 x    1 |
 | 800,    1:: |    4 x  200 |  500 x    5 |    1 x    1 |  500 x    5 |
 | 800,    2:: |    4 x  200 |  500 x    5 |    2 x    1 |  250 x    5 |
 | 800,    4:: |    4 x  200 |  500 x    5 |    4 x    1 |  125 x    5 |
 | 800,    5:: |    4 x  200 |  500 x    5 |    1 x    5 |  500 x    1 |
 | 800,   10:: |    4 x  200 |  500 x    5 |    2 x    5 |  250 x    1 |
 | 800,   20:: |    4 x  200 |  500 x    5 |    4 x    5 |  125 x    1 |
 | 800,   25:: |    4 x  200 |  500 x    5 |    5 x    5 |  100 x    1 |
 | 800,   50:: |    4 x  200 |  500 x    5 |   10 x    5 |   50 x    1 |
 | 800,  100:: |    4 x  200 |  500 x    5 |   20 x    5 |   25 x    1 |
 | 800,  125:: |    4 x  200 |  500 x    5 |   25 x    5 |   20 x    1 |
 | 800,  250:: |    4 x  200 |  500 x    5 |   50 x    5 |   10 x    1 |
 | 800,  500:: |    4 x  200 |  500 x    5 |  100 x    5 |    5 x    1 |
 | 800,  625:: |    4 x  200 |  500 x    5 |  125 x    5 |    4 x    1 |
 |1000,    1:: |    1 x 1000 | 2000 x    1 |    1 x    1 | 2000 x    1 |
 |1000,    2:: |    1 x 1000 | 2000 x    1 |    2 x    1 | 1000 x    1 |
 |1000,    4:: |    1 x 1000 | 2000 x    1 |    4 x    1 |  500 x    1 |
 |1000,    5:: |    1 x 1000 | 2000 x    1 |    5 x    1 |  400 x    1 |
 |1000,    8:: |    1 x 1000 | 2000 x    1 |    8 x    1 |  250 x    1 |
 |1000,   10:: |    1 x 1000 | 2000 x    1 |   10 x    1 |  200 x    1 |
 |1000,   16:: |    1 x 1000 | 2000 x    1 |   16 x    1 |  125 x    1 |
 |1000,   20:: |    1 x 1000 | 2000 x    1 |   20 x    1 |  100 x    1 |
 |1000,   25:: |    1 x 1000 | 2000 x    1 |   25 x    1 |   80 x    1 |
 |1000,   40:: |    1 x 1000 | 2000 x    1 |   40 x    1 |   50 x    1 |
 |1000,   50:: |    1 x 1000 | 2000 x    1 |   50 x    1 |   40 x    1 |
 |1000,   80:: |    1 x 1000 | 2000 x    1 |   80 x    1 |   25 x    1 |
 |1000,  100:: |    1 x 1000 | 2000 x    1 |  100 x    1 |   20 x    1 |
 |1000,  125:: |    1 x 1000 | 2000 x    1 |  125 x    1 |   16 x    1 |
 |1000,  200:: |    1 x 1000 | 2000 x    1 |  200 x    1 |   10 x    1 |
 |1000,  250:: |    1 x 1000 | 2000 x    1 |  250 x    1 |    8 x    1 |
 |1000,  400:: |    1 x 1000 | 2000 x    1 |  400 x    1 |    5 x    1 |
 |1000,  500:: |    1 x 1000 | 2000 x    1 |  500 x    1 |    4 x    1 |
 |1000, 1000:: |    1 x 1000 | 2000 x    1 | 1000 x    1 |    2 x    1 |
 |1250,    1:: |    5 x  250 |  400 x    4 |    1 x    1 |  400 x    4 |
 |1250,    2:: |    5 x  250 |  400 x    4 |    1 x    2 |  400 x    2 |
 |1250,    4:: |    5 x  250 |  400 x    4 |    1 x    4 |  400 x    1 |
 |1250,    5:: |    5 x  250 |  400 x    4 |    5 x    1 |   80 x    4 |
 |1250,    8:: |    5 x  250 |  400 x    4 |    2 x    4 |  200 x    1 |
 |1250,   10:: |    5 x  250 |  400 x    4 |    5 x    2 |   80 x    2 |
 |1250,   16:: |    5 x  250 |  400 x    4 |    4 x    4 |  100 x    1 |
 |1250,   20:: |    5 x  250 |  400 x    4 |    5 x    4 |   80 x    1 |
 |1250,   25:: |    5 x  250 |  400 x    4 |   25 x    1 |   16 x    4 |
 |1250,   32:: |    5 x  250 |  400 x    4 |    8 x    4 |   50 x    1 |
 |1250,   40:: |    5 x  250 |  400 x    4 |   10 x    4 |   40 x    1 |
 |1250,   50:: |    5 x  250 |  400 x    4 |   25 x    2 |   16 x    2 |
 |1250,   64:: |    5 x  250 |  400 x    4 |   16 x    4 |   25 x    1 |
 |1250,   80:: |    5 x  250 |  400 x    4 |   20 x    4 |   20 x    1 |
 |1250,  100:: |    5 x  250 |  400 x    4 |   25 x    4 |   16 x    1 |
 |1250,  160:: |    5 x  250 |  400 x    4 |   40 x    4 |   10 x    1 |
 |1250,  200:: |    5 x  250 |  400 x    4 |   50 x    4 |    8 x    1 |
 |1250,  320:: |    5 x  250 |  400 x    4 |   80 x    4 |    5 x    1 |
 |1250,  400:: |    5 x  250 |  400 x    4 |  100 x    4 |    4 x    1 |
 |1250,  800:: |    5 x  250 |  400 x    4 |  200 x    4 |    2 x    1 |
 |1600,    1:: |    8 x  200 |  250 x    5 |    1 x    1 |  250 x    5 |
 |1600,    2:: |    8 x  200 |  250 x    5 |    2 x    1 |  125 x    5 |
 |1600,    5:: |    8 x  200 |  250 x    5 |    1 x    5 |  250 x    1 |
 |1600,   10:: |    8 x  200 |  250 x    5 |    2 x    5 |  125 x    1 |
 |1600,   25:: |    8 x  200 |  250 x    5 |    5 x    5 |   50 x    1 |
 |1600,   50:: |    8 x  200 |  250 x    5 |   10 x    5 |   25 x    1 |
 |1600,  125:: |    8 x  200 |  250 x    5 |   25 x    5 |   10 x    1 |
 |1600,  250:: |    8 x  200 |  250 x    5 |   50 x    5 |    5 x    1 |
 |1600,  625:: |    8 x  200 |  250 x    5 |  125 x    5 |    2 x    1 |
 |2000,    1:: |    2 x 1000 | 1000 x    1 |    1 x    1 | 1000 x    1 |
 |2000,    2:: |    2 x 1000 | 1000 x    1 |    2 x    1 |  500 x    1 |
 |2000,    4:: |    2 x 1000 | 1000 x    1 |    4 x    1 |  250 x    1 |
 |2000,    5:: |    2 x 1000 | 1000 x    1 |    5 x    1 |  200 x    1 |
 |2000,    8:: |    2 x 1000 | 1000 x    1 |    8 x    1 |  125 x    1 |
 |2000,   10:: |    2 x 1000 | 1000 x    1 |   10 x    1 |  100 x    1 |
 |2000,   20:: |    2 x 1000 | 1000 x    1 |   20 x    1 |   50 x    1 |
 |2000,   25:: |    2 x 1000 | 1000 x    1 |   25 x    1 |   40 x    1 |
 |2000,   40:: |    2 x 1000 | 1000 x    1 |   40 x    1 |   25 x    1 |
 |2000,   50:: |    2 x 1000 | 1000 x    1 |   50 x    1 |   20 x    1 |
 |2000,  100:: |    2 x 1000 | 1000 x    1 |  100 x    1 |   10 x    1 |
 |2000,  125:: |    2 x 1000 | 1000 x    1 |  125 x    1 |    8 x    1 |
 |2000,  200:: |    2 x 1000 | 1000 x    1 |  200 x    1 |    5 x    1 |
 |2000,  250:: |    2 x 1000 | 1000 x    1 |  250 x    1 |    4 x    1 |
 |2000,  500:: |    2 x 1000 | 1000 x    1 |  500 x    1 |    2 x    1 |
 |2000, 1000:: |    2 x 1000 | 1000 x    1 | 1000 x    1 |    1 x    1 |
